step,normal,fraud
0,0,0
1,21,0
2,27,0
3,32,0
4,30,0
5,39,0
6,37,0
7,50,0
8,42,0
9,43,0
10,56,0
11,57,0
12,48,0
13,49,0
14,39,0
15,47,0
16,56,0
17,61,0
18,52,0
19,56,0
20,47,0
21,51,0
22,49,0
23,54,0
24,51,0
25,47,0
26,54,0
27,68,0
28,45,0
29,53,0
30,47,0
31,49,0
32,55,0
33,51,0
34,48,0
35,55,0
36,63,5
37,62,0
38,42,0
39,53,0
40,64,0
41,58,0
42,61,0
43,45,0
44,53,0
45,54,0
46,53,0
47,50,0
48,44,0
49,62,0
50,59,0
51,52,0
52,48,0
53,57,0
54,45,0
55,52,0
56,49,0
57,58,0
58,44,0
59,49,0
60,55,0
61,52,0
62,43,0
63,49,0
64,50,0
65,59,0
66,59,0
67,50,0
68,47,0
69,48,0
70,62,0
71,58,0
72,50,0
73,53,0
74,49,0
75,49,0
76,55,0
77,55,0
78,51,0
79,72,0
80,47,0
81,49,0
82,50,0
83,48,0
84,45,0
85,57,0
86,51,5
87,71,0
88,47,0
89,56,0
90,61,0
91,44,0
92,57,0
93,53,0
94,52,0
95,50,0
96,61,0
97,58,0
98,52,0
99,57,0
100,51,0
101,51,0
102,46,0
103,59,0
104,49,0
105,61,0
106,43,0
107,58,0
108,50,0
109,58,0
110,54,0
111,53,0
112,49,0
113,47,0
114,40,0
115,48,0
116,52,0
117,59,0
118,48,0
119,46,0
120,55,0
121,45,0
122,51,0
123,52,0
124,54,0
125,53,0
126,51,0
127,69,0
128,53,0
129,55,0
130,67,0
131,45,0
132,61,0
133,58,0
134,55,0
135,59,0
136,64,5
137,60,0
138,66,0
139,60,0
140,60,0
141,50,0
142,44,0
143,50,0
144,49,0
145,47,0
146,53,0
147,56,0
148,40,0
149,49,0
150,58,0
151,64,0
152,57,0
153,49,0
154,51,0
155,64,0
156,45,0
157,49,0
158,57,0
159,61,0
160,51,0
161,47,0
162,44,0
163,52,0
164,56,0
165,61,0
166,58,0
167,45,0
168,46,0
169,56,0
170,54,0
171,43,0
172,45,0
173,52,0
174,50,0
175,59,0
176,62,0
177,55,0
178,57,0
179,55,0
180,53,0
181,59,0
182,47,0
183,47,0
184,55,0
185,49,0
186,55,5
187,60,0
188,53,0
189,58,0
190,59,0
191,45,0
192,40,0
193,44,0
194,37,0
195,39,0
196,46,0
197,43,0
198,34,0
199,28,0
